2024-11-17 22:10:03,009 [Worker-7: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2024-11-17 22:12:11,670 [Worker-8: Creating project "API-ISO8583"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:API-ISO8583:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\pom.xml.
2024-11-17 22:12:12,218 [Worker-8: Creating project "API-ISO8583"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /API-ISO8583/src/main/java
2024-11-17 22:12:12,219 [Worker-8: Creating project "API-ISO8583"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /API-ISO8583/src/main/resources
2024-11-17 22:12:12,220 [Worker-8: Creating project "API-ISO8583"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /API-ISO8583/src/test/java
2024-11-17 22:12:12,221 [Worker-8: Creating project "API-ISO8583"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /API-ISO8583/src/test/resources
2024-11-17 22:12:12,835 [Worker-8: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:12:12,842 [Worker-8: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:12:12,844 [Worker-8: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:12:12,846 [Worker-8: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:13:23,635 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2024-11-17 22:13:26,646 [Worker-10: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:13:26,659 [Worker-10: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:13:26,663 [Worker-10: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:13:26,664 [Worker-10: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:13:57,043 [Worker-14: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:API-ISO8583:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\pom.xml.
2024-11-17 22:13:57,832 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:13:57,836 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:13:57,838 [Worker-12: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:13:57,839 [Worker-12: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:19:40,487 [Worker-5: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.nguyendinhhung:API-ISO8583:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\pom.xml.
2024-11-17 22:20:47,120 [Worker-5: Creating project "restful-api-server"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:restful-api-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\restful-api-server\pom.xml.
2024-11-17 22:20:47,476 [Worker-5: Creating project "restful-api-server"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /restful-api-server/src/main/java
2024-11-17 22:20:47,478 [Worker-5: Creating project "restful-api-server"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /restful-api-server/src/main/resources
2024-11-17 22:20:47,479 [Worker-5: Creating project "restful-api-server"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /restful-api-server/src/test/java
2024-11-17 22:20:47,479 [Worker-5: Creating project "restful-api-server"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /restful-api-server/src/test/resources
2024-11-17 22:20:47,873 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:20:47,877 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:20:47,880 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:20:47,882 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:24:52,562 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:restful-api-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\restful-api-server\pom.xml.
2024-11-17 22:25:15,820 [Worker-10: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:restful-api-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\restful-api-server\pom.xml.
2024-11-17 22:27:18,996 [Worker-19: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:restful-api-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\restful-api-server\pom.xml.
2024-11-17 22:29:21,481 [Worker-5: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.nguyendinhhung:API-ISO8583:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\pom.xml.
2024-11-17 22:29:21,706 [Worker-5: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:restful-api-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\restful-api-server\pom.xml.
2024-11-17 22:29:22,350 [Worker-5: Building workspace] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-validation/2.0.8.RELEASE/spring-boot-starter-validation-2.0.8.RELEASE.pom
2024-11-17 22:29:22,783 [Worker-5: Building workspace] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-validation/2.0.8.RELEASE/spring-boot-starter-validation-2.0.8.RELEASE.pom
2024-11-17 22:29:22,905 [Worker-5: Building workspace] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-validation/2.0.8.RELEASE/spring-boot-starter-validation-2.0.8.RELEASE.jar
2024-11-17 22:29:23,002 [Worker-5: Building workspace] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-validation/2.0.8.RELEASE/spring-boot-starter-validation-2.0.8.RELEASE.jar
2024-11-17 22:29:24,534 [Worker-5: Download sources and javadoc] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-validation/2.0.8.RELEASE/spring-boot-starter-validation-2.0.8.RELEASE-sources.jar
2024-11-17 22:29:24,923 [Worker-5: Download sources and javadoc] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-validation/2.0.8.RELEASE/spring-boot-starter-validation-2.0.8.RELEASE-sources.jar
2024-11-17 22:29:24,993 [Worker-5: Download sources and javadoc] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for org.springframework.boot:spring-boot-starter-validation:2.0.8.RELEASE
2024-11-17 22:35:05,848 [Worker-24: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.nguyendinhhung:API-ISO8583:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\pom.xml.
2024-11-17 22:35:12,381 [Worker-24: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:restful-api-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\restful-api-server\pom.xml.
2024-11-17 22:36:23,829 [Worker-27: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.nguyendinhhung:API-ISO8583:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\pom.xml.
2024-11-17 22:36:24,036 [Worker-27: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:restful-api-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\restful-api-server\pom.xml.
2024-11-17 22:39:43,022 [Worker-5: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.nguyendinhhung:API-ISO8583:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\pom.xml.
